col,row,width_m,height_m,hex_color,length_m
19,5,0.015,0.015,#1B140D,0.03
20,5,0.015,0.015,#1B140D,0.03
21,5,0.015,0.015,#1B140D,0.05
22,5,0.015,0.015,#40211B,0.03
23,5,0.015,0.015,#4E3028,0.09
24,5,0.015,0.015,#40211B,0.03
25,5,0.015,0.015,#4E3028,0.01
26,5,0.015,0.015,#40211B,0.09
27,5,0.015,0.015,#4E3028,0.03
28,5,0.015,0.015,#374534,0.09
29,5,0.015,0.015,#374534,0.05
30,5,0.015,0.015,#22342B,0.01
31,5,0.015,0.015,#2B1D16,0.05
32,5,0.015,0.015,#2B1D16,0.01
33,5,0.015,0.015,#2B1D16,0.05
34,5,0.015,0.015,#1B140D,0.03
35,5,0.015,0.015,#2B1D16,0.07
36,5,0.015,0.015,#2B1D16,0.07
37,5,0.015,0.015,#1B140D,0.07
38,5,0.015,0.015,#13110D,0.03
39,5,0.015,0.015,#080504,0.03
40,5,0.015,0.015,#080504,0.09
41,5,0.015,0.015,#13110D,0.05
42,5,0.015,0.015,#1B140D,0.05
43,5,0.015,0.015,#13110D,0.03
44,5,0.015,0.015,#13110D,0.03
45,5,0.015,0.015,#13110D,0.03
46,5,0.015,0.015,#13110D,0.09
47,5,0.015,0.015,#080504,0.03
48,5,0.015,0.015,#080504,0.07
49,5,0.015,0.015,#080504,0.09
50,5,0.015,0.015,#080504,0.03
1,6,0.015,0.015,#080504,0.03
2,6,0.015,0.015,#080504,0.07
3,6,0.015,0.015,#080504,0.07
4,6,0.015,0.015,#080504,0.07
5,6,0.015,0.015,#080504,0.07
6,6,0.015,0.015,#080504,0.07
7,6,0.015,0.015,#080504,0.07
8,6,0.015,0.015,#080504,0.07
9,6,0.015,0.015,#080504,0.05
10,6,0.015,0.015,#080504,0.09
11,6,0.015,0.015,#080504,0.01
12,6,0.015,0.015,#080504,0.03
13,6,0.015,0.015,#080504,0.07
14,6,0.015,0.015,#080504,0.01
15,6,0.015,0.015,#080504,0.07
16,6,0.015,0.015,#13110D,0.07
17,6,0.015,0.015,#22342B,0.01
18,6,0.015,0.015,#2B1D16,0.05
19,6,0.015,0.015,#2B1D16,0.01
20,6,0.015,0.015,#40211B,0.01
21,6,0.015,0.015,#22342B,0.05
22,6,0.015,0.015,#374534,0.09
23,6,0.015,0.015,#4E3028,0.09
24,6,0.015,0.015,#4E3028,0.09
25,6,0.015,0.015,#4E3028,0.07
26,6,0.015,0.015,#643735,0.03
27,6,0.015,0.015,#643735,0.07
28,6,0.015,0.015,#716155,0.03
29,6,0.015,0.015,#5A684C,0.01
30,6,0.015,0.015,#5A684C,0.01
31,6,0.015,0.015,#5A684C,0.01
32,6,0.015,0.015,#5A684C,0.03
33,6,0.015,0.015,#5A502E,0.01
34,6,0.015,0.015,#40211B,0.05
35,6,0.015,0.015,#2B1D16,0.07
36,6,0.015,0.015,#1B140D,0.01
37,6,0.015,0.015,#2B1D16,0.09
38,6,0.015,0.015,#40211B,0.09
39,6,0.015,0.015,#2B1D16,0.07
40,6,0.015,0.015,#2B1D16,0.07
41,6,0.015,0.015,#2B1D16,0.01
42,6,0.015,0.015,#2B1D16,0.09
43,6,0.015,0.015,#2B1D16,0.07
44,6,0.015,0.015,#1B140D,0.05
45,6,0.015,0.015,#2B1D16,0.03
46,6,0.015,0.015,#13110D,0.09
47,6,0.015,0.015,#080504,0.09
48,6,0.015,0.015,#080504,0.01
49,6,0.015,0.015,#080504,0.01
50,6,0.015,0.015,#080504,0.05
1,7,0.015,0.015,#080504,0.07
2,7,0.015,0.015,#080504,0.07
3,7,0.015,0.015,#080504,0.05
4,7,0.015,0.015,#080504,0.03
5,7,0.015,0.015,#080504,0.03
6,7,0.015,0.015,#080504,0.01
7,7,0.015,0.015,#080504,0.09
8,7,0.015,0.015,#080504,0.05
9,7,0.015,0.015,#080504,0.09
10,7,0.015,0.015,#080504,0.09
11,7,0.015,0.015,#080504,0.09
12,7,0.015,0.015,#080504,0.03
13,7,0.015,0.015,#080504,0.03
14,7,0.015,0.015,#13110D,0.03
15,7,0.015,0.015,#22342B,0.03
16,7,0.015,0.015,#22342B,0.07
17,7,0.015,0.015,#2B1D16,0.03
18,7,0.015,0.015,#1B140D,0.03
19,7,0.015,0.015,#1B140D,0.03
20,7,0.015,0.015,#2B1D16,0.05
21,7,0.015,0.015,#22342B,0.07
22,7,0.015,0.015,#22342B,0.01
23,7,0.015,0.015,#4E3028,0.01
24,7,0.015,0.015,#4E3028,0.01
25,7,0.015,0.015,#371A08,0.09
26,7,0.015,0.015,#4E3028,0.01
27,7,0.015,0.015,#4E3028,0.01
28,7,0.015,0.015,#4E3028,0.03
29,7,0.015,0.015,#716155,0.03
30,7,0.015,0.015,#716155,0.03
31,7,0.015,0.015,#5A502E,0.03
32,7,0.015,0.015,#716155,0.05
33,7,0.015,0.015,#5A684C,0.07
34,7,0.015,0.015,#716155,0.07
35,7,0.015,0.015,#4E3028,0.03
36,7,0.015,0.015,#4E3028,0.03
